backtest_id,daily_intelligence_id,run_date,period,discovery_source,source_publication,signal_type,category,trigger_entity,headline,article_summary,original_score,original_rationale,original_action,sentiment_tag,expected_tier,label_reason,revised_score,revised_rationale,pass
BT020,a2228b4e-0048-4610-8cc3-a3b2c18eaa0d,2026-07-21,P2_jul17_aug4,serper,openPR,Customer,customers,Tokai Rika,Steering column control modules market growth highlights Tokai Rika,"A press release forecasts the steering column control modules market to reach $28.92 billion by 2030 (7.7% CAGR), driven by autonomous, electrified, and connected vehicle trends. Tokai Rika Co. Ltd. is listed among leading suppliers, alongside companies such as Robert Bosch, ZF, DENSO, and Magna.",5.0,Automotive module market growth; Tokai Rika listed as supplier.,Monitor,Positive,unlabeled,,3,Forecast and supplier list only; no operational or commercial event.,
BT021,8582b955-a5ea-4ee0-8092-84d5feb8e92d,2026-07-22,P2_jul17_aug4,serper,QZ,Customer,customers,Fiberon,Consumer Reports ranks Fiberon Horizon composite decking highly,"QZ summarizes Consumer Reports testing of wood, composite, and plastic decking durability. Fiberon Horizon is highlighted as a higher-end composite option with outstanding stain resistance and good performance on surface damage and flexing over time.",6.0,Favorable Fiberon Horizon performance can lift composite decking material demand.,Share with sales,Positive,suppress,"Consumer product review, not a business signal",4,"Product performance praise only; no material, capacity, or sourcing signal.",True
BT022,1a0e7fcd-297b-42b9-989b-9286593c80f4,2026-07-22,P2_jul17_aug4,serper,IndexBox,Macro,customers,Koch Industries,High reliability connectors market forecast grows through 2035,"IndexBox forecasts the global high reliability connectors market to grow at a 5% to 7% CAGR through 2035, driven by aerospace and defense modernization, industrial automation, medical devices, and EV powertrains. The report cites long qualification cycles (12 to 24 months) and lead times (20 to 30 weeks) for specialty materials, plus compliance costs for REACH, RoHS, and US DFARS.",6.0,Connector demand growth supports polymer compound/additive demand.,Share with sales,Positive,suppress,Market-report boilerplate (pattern match),2,"Forecast-only content; no direct materials, capacity, or contract signals.",True
BT023,df97a924-e326-41df-8caa-4f7b4b12b360,2026-07-22,P2_jul17_aug4,serper,IndexBox,Supply Chain,competitors,RTP Company,IndexBox forecasts liquid crystal polyester growth through 2035,"IndexBox projects global liquid crystal polyester (LCP) demand to grow at ~8.5% CAGR from 2026 to 2035, reaching an index of 210 (2025=100). Growth is attributed to 5G/6G millimeter-wave infrastructure, EV/ADAS electrification, and semiconductor equipment expansion, alongside persistent supply tightness and higher pricing for premium grades.",6.0,RTP cited among LCP participants; growth and price lift affect specialty polymer demand.,Share with sales,Positive,suppress,Market-report boilerplate (pattern match),2,"Forecast-only content; no RTP event, pricing, capacity, or deal.",True
BT024,a0e55249-b407-4434-a283-bb90763afa63,2026-07-22,P2_jul17_aug4,serper,IndexBox,Customer,customers,Shaw Industries,Recyclable artificial turf demand forecast rises through 2035,"IndexBox forecasts the global recyclable artificial turf system market to grow at a 10.2% CAGR from 2026 to 2035, driven by EU microplastic restrictions and North American bans/EPR schemes. The report highlights premium pricing for sensor-embedded systems and names Shaw Industries Group Inc among representative participants.",6.0,Customer-linked recyclable turf growth supports polymer/additive demand.,Share with sales,Positive,suppress,Market-report boilerplate (pattern match),3,"Forecast-only; no direct Shaw sourcing, capacity, or pricing event.",True
BT025,dcfdde4d-65cf-4b85-b3b3-b8a9c72acf7f,2026-07-23,P2_jul17_aug4,serper,Plastics News,Supply Chain,engineered_resins,engineered_resins,Recyclate prices pressured by lower-cost virgin material in July,"Plastics News reports that in July, recycled polymer prices were pressured by lower-cost virgin material. R-LDPE and R-HDPE rose slightly (€10/tonne), while R-PET fell €30–40/tonne and R-PP declined €20–30/tonne versus June.",6.0,Recyclate price declines affect recycled-content compound and masterbatch margins.,Monitor,Negative,surface,Recycled vs virgin pricing dynamic,6,Recyclate price moves affect polymer input costs and pricing for engineered compounds.,True
BT026,07bcfa5c-0e3a-4c34-b895-03be282969fe,2026-07-23,P2_jul17_aug4,serper,PRNewswire,Supply Chain,suppliers,Dow,Dow reports Q2 2026 results; polyethylene pricing lifts Packaging,"Dow reported Q2 2026 net sales of $12.1 billion (+20% YoY) with local price up 20% and volume down 1%. Packaging & Specialty Plastics net sales rose to $6.4 billion (+27%) driven by higher polyethylene prices, while planned maintenance reduced volumes.",6.0,Upstream resin price/volume signals affect Americhem packaging and industrial costs.,Monitor,Positive,surface,Supplier earnings with resin pricing signal,6,Reported polyethylene price lift affects Packaging input costs.,True
BT027,d46d2d44-93c1-428b-87eb-3250ad017fa2,2026-07-23,P2_jul17_aug4,serper,GlobeNewswire,Customer,competitors,Mitsubishi Chemical,Implantable cardiac fluorine-free resins market forecast to 2035,"Healthcare Foresights (via Custom Market Insights) forecasts the global Implantable Cardiac Fluorine-Free Resins market to grow from USD 1.52 billion (2025) to USD 4.26 billion by 2035 (10.8% CAGR). The report lists key players including Mitsubishi Chemical Group and Medtronic, and cites drivers such as biocompatibility and fluorinated-compound avoidance.",6.0,Healthcare market growth and competitor set include Mitsubishi Chemical Group.,Share with sales,Positive,suppress,Market-report boilerplate (pattern match),3,"Forecast-only; no event, pricing, capacity, or counterparty action.",True
BT028,2bca13a3-8934-46c8-ac6e-87eda8b0bbb5,2026-07-23,P2_jul17_aug4,serper,openPR,Macro,suppliers,Formosa Plastics,Lucintel forecasts plastic pipe market growth to 2035,"Lucintel forecasts the global plastic pipe market will reach $163,523 million by 2035 with a 4.2% CAGR from 2026 to 2035. The report cites drivers such as water supply and sanitation demand and highlights suppliers including Formosa Plastics Group and Advanced Drainage Systems.",6.0,Supplier list includes Formosa Plastics; market growth supports pipe material demand.,Monitor,Positive,suppress,Market-report boilerplate (pattern match),2,Forecast-only content; no Formosa operational or supply-chain event.,True
BT029,639e8918-1ea5-4cdc-b78c-5c777e9aae3d,2026-07-23,P2_jul17_aug4,serper,IndexBox,Supply Chain,suppliers,ExxonMobil Chemical,XLPE cable compounds market forecast rises to 2035,"IndexBox forecasts global XLPE cable compounds demand to grow at ~6.8% CAGR through 2035, reaching a market index of 215 (2025=100). Growth is attributed to grid modernization, offshore wind expansion, and undergrounding, with HV/EHV grades growing 8–10% annually.",6.0,XLPE cable compounds growth supports demand for cable-grade additives/compounds.,Monitor,Positive,suppress,Market-report boilerplate (pattern match),3,"Forecast-only; no ExxonMobil Chemical supply, pricing, or capacity event.",True
BT030,53cad3d3-e3f3-4f03-86cb-7347ebc96df6,2026-07-23,P2_jul17_aug4,serper,Dentistry Today,Customer,healthcare,healthcare,Mastel Surgical’s SteriBest sterilization tray system gains FDA 510(k) clearance,"Mastel Surgical (Pacific Surgical company) announced FDA 510(k) clearance for the SteriBest® Sterilization Tray System for a 4-minute, 270°F (132°C) pre-vacuum steam cycle. The tray system uses durable Ultem® polymer and is offered in multiple configurations, including OEM private-label options.",6.0,Healthcare sterilization tray expansion with FDA clearance and polymer platform.,Share with sales,Positive,unlabeled,,6,New FDA-cleared medical tray implies qualified polymer/compound demand.,
BT031,2cf6f0a5-55dd-4a94-81fb-13739ce9af48,2026-07-23,P2_jul17_aug4,serper,Trading Economics (via TradingView),Macro,macro_manufacturing,macro_manufacturing,Taiwan industrial output rises 22.95% year-on-year in June,"Taiwan industrial production increased 22.95% year-on-year in June 2026, the strongest annual growth since March. Manufacturing output nearly doubled to 24.34% year-on-year, led by electronic parts/components and computers, electronic and optical products.",4.0,Macro electronics production strength modestly supports plastics demand.,Monitor,Positive,unlabeled,,2,"Macro statistic only; no polymers, pricing, capacity, or counterparty details.",
BT032,2db7e40d-bd71-4ead-9043-fbb0194a32ed,2026-07-24,P2_jul17_aug4,serper,IndexBox,Macro,competitors,RTP Company,IndexBox forecasts polycarbonate growth through 2035 on EV demand,"IndexBox projects global polycarbonate (PC) consumption to rise from about 5.8 million metric tons in 2025 to 8.6 million metric tons by 2035 (4.2% CAGR). Growth is attributed to electronics, automotive/EV components, and infrastructure, while China overcapacity and BPA feedstock volatility are cited as margin pressures. RTP Company is listed among representative participants for automotive and industrial segments.",6.0,PC market growth and EV/electronics demand; RTP cited as participant.,Monitor,Positive,suppress,Market-report boilerplate (pattern match),3,"Forecast-only; no RTP capacity, pricing, or deal details.",True
BT033,dc26ba8c-5c24-4052-b3eb-454e7d78b078,2026-07-24,P2_jul17_aug4,serper,IndexBox,Macro,fibers,fibers,BCF spinning machine market forecasted to grow through 2035,"IndexBox forecasts the global BCF (Bulked Continuous Filament) spinning machine market to grow at ~5.2% CAGR from 2026–2035, driven by Asia-Pacific carpet capacity additions and replacement of aging equipment. The report cites demand split led by carpet and flooring (65%), plus automotive floor coverings (15%) and industrial textiles (10%), with aftermarket services at 25–35% of revenue.",6.0,Forecasted BCF capacity expansion supports fiber-grade polymer/additive demand.,Monitor,Positive,suppress,Market-report boilerplate (pattern match),3,"Market forecast only; no direct supply, pricing, or transaction details.",True
BT034,13a27c1b-abd7-4b32-b629-5236033f7e76,2026-07-24,P2_jul17_aug4,serper,ad-hoc-news.de,Competitive,competitors,Avient,"Avient reports 2023 revenue decline, highlights specialty materials growth","Avient reported 2023 revenue of about $3.08 billion, down from about $3.41 billion in 2022, after exiting lower-margin businesses. The company emphasized improved profitability metrics, reduced total debt, and continued mix shift toward specialty materials and polymer solutions in early 2024.",6.0,Avient specialty mix and margin focus may pressure Americhem pricing.,Monitor,Neutral,unlabeled,,4,"Competitor financials and mix shift; no stated capacity, pricing, or deals.",
BT035,beed6510-b8c5-4fb7-9eb2-f503e0602c12,2026-07-24,P2_jul17_aug4,serper,Packaging South Asia,Technology,industry,industry,Rajoo Engineers to showcase extrusion technologies at Hiplex 2026,"Rajoo Engineers will display extrusion technologies at Hiplex 2026 in Hyderabad from 7–10 August 2026. The company highlights sustainability, automation, energy-efficient systems, and circular-economy oriented recyclable packaging structures, citing 7,000+ installations across 78 countries.",4.0,Event announcement; no direct customer or material specification changes.,Monitor,Neutral,unlabeled,,3,"Trade-show exhibit; no named material, capacity, or sourcing change.",
BT036,67bf1a55-344b-401b-9110-245ee1c5fd4a,2026-07-27,P2_jul17_aug4,serper,News-Medical,Customer,healthcare,healthcare,Beckman Coulter launches DxU 1800 automated urinalysis system,"Beckman Coulter Diagnostics, a Danaher company, launched the DxU 1800 System in the U.S. for fully automated urinalysis. The platform combines the DxU 1800c chemistry analyzer and DxU Iris microscopy, targeting higher throughput and standardized results as testing volumes rise.",6.0,New automated urinalysis platform drives consumables and lab material demand.,Share with sales,Positive,suppress,"Off-domain medical device, no materials angle",3,"New diagnostic system launch; no stated materials, volumes, or supply-chain impacts.",True
BT037,a98e5b88-3ef0-403f-a191-3f25c0098df2,2026-07-27,P2_jul17_aug4,serper,CompositesWorld,Customer,customers,Advanced Composites,Herone thermoplastic composite LH2 fuel lines cut weight 50–60%,"Herone GmbH (Dresden, Germany) is developing unitized carbon fiber/LMPAEK thermoplastic composite (TPC) braided tube systems for liquid hydrogen (LH2) aircraft propulsion and space launchers. The design uses co-consolidated integral flanges to eliminate metallic hardware and targets a 50–60% reduction in line system weight versus stainless steel.",6.0,New LH2 composite tube program implies growth in high-performance polymer needs.,Share with sales,Positive,surface,Customer application win in composites,6,Aerospace hydrogen-line thermoplastic composite development with 50–60% weight target.,True
BT038,1516d3f9-267c-426e-997a-27ca7e8673a5,2026-07-27,P2_jul17_aug4,serper,TradingKey,Customer,customers,AdvanSix,AdvanSix revenue mix highlights nylon and caprolactam exposure,"TradingKey’s revenue breakdown for AdvanSix (ASIX) shows FY2025 revenue by business: Chemical Intermediates $563.69M (37.03%), Plant Nutrients $377.50M (24.80%), Nylon $309.68M (20.34%), and Caprolactam $271.37M (17.83%). By region, the company reports $1.31B (86.04%) from the United States and $212.48M (13.96%) internationally.",5.0,Customer-linked nylon-chain activity supports stable demand outlook.,Monitor,Positive,unlabeled,,3,Only financial mix; no operational or supply-chain event.,
BT039,d699c134-79bd-463b-a87f-1d67f0e7491f,2026-07-27,P2_jul17_aug4,serper,Indeed,Other,competitors,Standridge Color,Indeed job listing for Chart Industries HR Manager in Prague,"The article is an Indeed job listing for a Human Resources Manager role at Chart Industries in Prague. It describes HR responsibilities for the Prague Howden ČKD location, including payroll, hiring support, training, and compliance with Czech labor law.",4.0,Competitor job ad; no direct plastics/materials or sourcing signal.,Monitor,Neutral,unlabeled,,1,"Job listing only; no operational, supply, or market event.",
BT040,112ca939-32b1-4d8c-929c-b6db2d9bdea2,2026-07-28,P2_jul17_aug4,serper,AL.com,Customer,customers,SABIC,Mutares to acquire SABIC engineering thermoplastics business for $450M,"Mutares SE & Co. announced it will acquire SABIC’s engineering thermoplastics (ETP) business for $450 million, expected to close in the second half of the year. The deal includes SABIC’s Burkville, Alabama chemical and compounding plant producing polycarbonate (PC), compounded PC, ABS, and PBT.",6.0,SABIC PC/ABS/PBT supply and compounding footprint may change.,Monitor,Positive,surface,Supplier/competitor divestiture,6,Named plant and polymers in a supply-channel M&A deal.,True
BT041,b6a87557-895b-49ed-a30e-8c22fd16b318,2026-07-28,P2_jul17_aug4,serper,WBOC TV,Customer,suppliers,Univar Solutions,Univar Solutions acquires Interpur Chemicals for EMEA performance materials,"Univar Solutions announced it has acquired Interpur Chemicals, a European distributor of polyurethanes and powder coatings. The deal expands Univar’s Performance Materials business in Ingredients + Specialties across Europe, the Middle East, and Africa (EMEA), adding 18 employees and broader technical/formulation support.",6.0,Expands Univar’s EMEA coatings/polyurethane reach; affects distribution and customer sourcing.,Monitor,Positive,surface,Distributor M&A,7,Univar acquisition expands EMEA channel for polyurethane and coatings materials.,True
BT042,354ead12-0b3a-4dc9-adbf-b0a9e9424b02,2026-07-28,P2_jul17_aug4,zoominfo,GlobeNewswire,Customer,suppliers,Univar Solutions,Univar Solutions acquires Interpur Chemicals for EMEA polyurethanes,"Univar Solutions announced it has acquired Interpur Chemicals, a European distributor of polyurethanes and powder coatings. The deal expands Univar’s Performance Materials business in EMEA, adding local expertise and distribution coverage. Eighteen employees will transfer to Univar through the transaction.",6.0,Expanded EMEA distribution for polyurethanes/powder coatings.,Share with sales,Positive,surface,Distributor M&A,6,Channel expansion in EMEA polyurethanes/powder coatings.,True
BT043,5cc87b65-fe6f-4640-9c26-b31fe43a0813,2026-07-28,P2_jul17_aug4,serper,Investing.com,Macro,macro_manufacturing,macro_manufacturing,Morgan Stanley lifts July ISM Manufacturing PMI forecast to 53.8,"Morgan Stanley raised its July ISM Manufacturing PMI forecast to 53.8 from 53.3. The bank cited stronger Texas manufacturing activity, including gains in demand and output, continued employment expansion, and slower input/output prices.",4.0,Broad PMI improvement; indirect demand tailwind for plastics consumption.,Monitor,Positive,surface,Core macro demand indicator for compounders,5,Macro PMI forecast lift implies modest demand tailwind for plastics.,True
BT044,9a5ff796-4343-4ca4-b9b2-cd9804916e84,2026-07-28,P2_jul17_aug4,serper,Bham Now,Customer,macro_construction,macro_construction,Alabama issues $29.5M Walmart distribution center renovation permit,"Alabama issued 17 new building permits exceeding $1 million, including a $29.5 million permit for renovations to Walmart’s distribution center in Cullman. The project is part of Walmart’s $350 million revamping effort and includes smart robotics, AI inventory/case-tracking software, and workforce shifts toward tech-focused roles.",6.0,Large logistics facility renovation supports industrial plastics and packaging inputs.,Share with sales,Positive,suppress,"Local construction permit, no materials linkage",2,"Permits only; no plastics/chemicals, grades, or supply-chain details.",True
BT045,4ee13d83-f7e6-4f0b-b76f-60da2a39c67f,2026-07-28,P2_jul17_aug4,serper,openPR,Macro,suppliers,ExxonMobil Chemical,Thermoplastic elastomer market growth highlights ExxonMobil Chemical among leaders,"A Business Research Company press release forecasts the thermoplastic elastomer market to reach $44.81 billion by 2030 (8.3% CAGR). It cites growth drivers including EV components, medical device manufacturing, wire and cable insulation, and recyclable elastomer materials, listing ExxonMobil Chemical Company among leading players.",5.0,Growth outlook for TPE applications aligns with Americhem elastomer/additive demand.,Monitor,Positive,unlabeled,,2,"Forecast-only; no capacity, pricing, or supply-chain event.",
BT046,d96a6a87-c6af-41e3-8a3f-4aeeddfd7e92,2026-07-29,P2_jul17_aug4,serper,GlobeNewswire,Other,engineered_resins,engineered_resins,FutureFuel schedules Q2 2026 results call and webcast,"FutureFuel Corp. (NYSE: FF) announced it will release second quarter 2026 results after the U.S. market closes on August 10, 2026. A conference call and webcast are scheduled for August 11, 2026, with details provided for domestic and international dial-in and replay access.",4.0,Scheduling update; only indirect link to nylon/polyester polymer modifiers.,Monitor,Neutral,unlabeled,,2,"Only scheduling; no input, capacity, price, or material event.",
